Date,Product,Category,Price,Quantity
2024-04-26,Tea,Beverages,140,1
2024-06-08,Shampoo,Household,260,20
2024-05-30,Shampoo,Household,135,17
2024-01-21,Milk,Dairy,481,5
2024-04-13,Shampoo,Household,97,4
2024-03-19,Milk,Dairy,384,12
2024-03-31,Bread,Bakery,249,12
2024-02-17,Cooking Oil,Groceries,488,6
2024-01-21,Biscuits,Snacks,405,9
2024-05-15,Rice,Groceries,370,6
2024-02-25,Rice,Groceries,368,5
2024-03-06,Tea,Beverages,472,11
2024-06-23,Milk,Dairy,438,15
2024-06-28,Shampoo,Household,460,1
2024-06-19,Bread,Bakery,304,8
2024-04-27,Shampoo,Household,438,1
2024-02-28,Tea,Beverages,326,14
2024-06-03,Chocolate,Snacks,341,20
2024-02-28,Biscuits,Snacks,359,4
2024-01-04,Milk,Dairy,451,8
2024-03-17,Coffee,Beverages,265,18
2024-01-19,Detergent,Household,335,8
2024-05-02,Milk,Dairy,243,2
2024-06-18,Chocolate,Snacks,475,3
2024-04-15,Rice,Groceries,452,16
2024-06-15,Cooking Oil,Groceries,409,2
2024-03-13,Milk,Dairy,217,9
2024-02-25,Rice,Groceries,477,8
2024-06-28,Rice,Groceries,69,17
2024-05-11,Coffee,Beverages,165,18
2024-03-24,Biscuits,Snacks,43,3
2024-01-01,Shampoo,Household,22,8
2024-01-14,Tea,Beverages,381,15
2024-01-27,Detergent,Household,129,1
2024-05-31,Detergent,Household,167,6
2024-01-22,Soap,Household,211,19
2024-03-20,Cooking Oil,Groceries,59,5
2024-01-26,Tea,Beverages,389,8
2024-02-11,Rice,Groceries,293,2
2024-06-28,Biscuits,Snacks,476,10
2024-01-09,Detergent,Household,249,4
2024-01-08,Coffee,Beverages,215,13
2024-06-23,Sugar,Groceries,293,20
2024-01-28,Sugar,Groceries,180,12
2024-01-22,Biscuits,Snacks,286,11
2024-04-12,Tea,Beverages,285,8
2024-01-19,Soap,Household,153,9
2024-02-13,Biscuits,Snacks,59,1
2024-01-30,Chocolate,Snacks,376,18
2024-02-13,Coffee,Beverages,58,17
2024-06-28,Soap,Household,433,4
2024-04-08,Biscuits,Snacks,433,11
2024-02-11,Chocolate,Snacks,200,15
2024-03-04,Rice,Groceries,263,3
2024-04-24,Coffee,Beverages,456,15
2024-02-11,Bread,Bakery,152,5
2024-05-30,Milk,Dairy,76,17
2024-01-11,Detergent,Household,230,19
2024-06-27,Biscuits,Snacks,391,5
2024-04-29,Soap,Household,497,3
2024-04-03,Bread,Bakery,380,3
2024-06-11,Milk,Dairy,135,6
2024-06-03,Milk,Dairy,371,14
2024-04-27,Shampoo,Household,322,4
2024-01-20,Rice,Groceries,124,17
2024-05-26,Coffee,Beverages,19,3
2024-02-01,Milk,Dairy,339,13
2024-02-29,Sugar,Groceries,199,5
2024-03-21,Detergent,Household,289,14
2024-02-09,Coffee,Beverages,450,4
2024-04-15,Bread,Bakery,413,15
2024-06-15,Bread,Bakery,356,4
2024-01-30,Chocolate,Snacks,138,5
2024-02-10,Bread,Bakery,192,11
2024-01-31,Tea,Beverages,438,3
2024-06-04,Sugar,Groceries,368,18
2024-05-03,Detergent,Household,81,9
2024-03-30,Tea,Beverages,489,4
2024-06-09,Shampoo,Household,112,19
2024-06-05,Chocolate,Snacks,233,18
2024-06-10,Biscuits,Snacks,261,19
2024-04-07,Shampoo,Household,70,7
2024-02-27,Tea,Beverages,120,4
2024-04-14,Shampoo,Household,472,8
2024-06-07,Shampoo,Household,367,18
2024-04-01,Cooking Oil,Groceries,413,4
2024-05-18,Chocolate,Snacks,394,9
2024-06-01,Biscuits,Snacks,242,7
2024-04-27,Milk,Dairy,481,9
2024-03-15,Chocolate,Snacks,373,1
2024-03-10,Shampoo,Household,324,5
2024-01-05,Rice,Groceries,237,9
2024-05-15,Chocolate,Snacks,397,8
2024-03-25,Shampoo,Household,146,18
2024-06-21,Detergent,Household,116,16
2024-03-14,Rice,Groceries,348,11
2024-06-21,Milk,Dairy,63,10
2024-04-19,Tea,Beverages,426,7
2024-05-08,Milk,Dairy,440,5
2024-01-19,Milk,Dairy,451,18
2024-01-17,Sugar,Groceries,320,1
2024-01-28,Soap,Household,367,5
2024-03-25,Bread,Bakery,275,2
2024-04-26,Milk,Dairy,25,20
2024-01-15,Biscuits,Snacks,406,5
2024-04-02,Coffee,Beverages,421,7
2024-06-16,Biscuits,Snacks,345,2
2024-05-21,Tea,Beverages,390,20
2024-01-10,Cooking Oil,Groceries,274,15
2024-06-15,Bread,Bakery,177,20
2024-02-18,Cooking Oil,Groceries,381,17
2024-05-13,Milk,Dairy,177,17
2024-02-09,Tea,Beverages,210,3
2024-01-23,Cooking Oil,Groceries,206,11
2024-05-05,Cooking Oil,Groceries,398,4
2024-03-27,Cooking Oil,Groceries,192,4
2024-06-12,Coffee,Beverages,410,20
2024-04-15,Sugar,Groceries,272,3
2024-04-13,Sugar,Groceries,242,19
2024-05-29,Rice,Groceries,412,4
2024-02-09,Biscuits,Snacks,440,19
2024-06-06,Soap,Household,416,7
2024-05-22,Soap,Household,351,9
2024-04-06,Coffee,Beverages,286,14
2024-02-06,Soap,Household,157,7
2024-04-29,Shampoo,Household,481,20
2024-02-25,Biscuits,Snacks,80,18
2024-03-23,Shampoo,Household,274,6
2024-03-24,Shampoo,Household,94,4
2024-06-04,Detergent,Household,62,14
2024-06-27,Sugar,Groceries,50,18
2024-02-16,Chocolate,Snacks,101,13
2024-02-18,Milk,Dairy,404,14
2024-04-25,Coffee,Beverages,89,7
2024-06-13,Cooking Oil,Groceries,14,13
2024-02-10,Milk,Dairy,335,14
2024-01-23,Milk,Dairy,455,5
2024-01-19,Milk,Dairy,88,2
2024-02-26,Coffee,Beverages,326,4
2024-03-01,Biscuits,Snacks,421,9
2024-04-16,Biscuits,Snacks,462,3
2024-05-14,Rice,Groceries,19,6
2024-02-24,Tea,Beverages,331,10
2024-05-26,Cooking Oil,Groceries,112,19
2024-01-07,Tea,Beverages,291,2
2024-05-30,Bread,Bakery,307,20
2024-03-24,Bread,Bakery,125,19
2024-04-19,Biscuits,Snacks,29,9
2024-04-20,Rice,Groceries,469,10
2024-03-07,Soap,Household,156,10
2024-01-04,Rice,Groceries,126,16
2024-06-27,Shampoo,Household,468,7
2024-03-09,Coffee,Beverages,278,11
2024-02-16,Bread,Bakery,408,2
2024-02-14,Biscuits,Snacks,341,3
2024-04-11,Coffee,Beverages,404,11
2024-03-02,Soap,Household,455,7
2024-02-02,Sugar,Groceries,155,6
2024-05-01,Shampoo,Household,76,13
2024-02-02,Coffee,Beverages,456,14
2024-06-10,Tea,Beverages,199,12
2024-06-16,Coffee,Beverages,380,19
2024-06-13,Shampoo,Household,166,20
2024-01-27,Soap,Household,178,18
2024-04-10,Shampoo,Household,210,17
2024-05-27,Detergent,Household,50,9
2024-05-19,Chocolate,Snacks,66,15
2024-06-09,Rice,Groceries,229,16
2024-01-14,Shampoo,Household,184,3
2024-02-02,Sugar,Groceries,35,15
2024-02-10,Shampoo,Household,250,2
2024-05-04,Bread,Bakery,189,12
2024-06-07,Cooking Oil,Groceries,247,18
2024-03-04,Sugar,Groceries,173,20
2024-06-09,Milk,Dairy,437,11
2024-06-03,Coffee,Beverages,297,11
2024-05-19,Rice,Groceries,263,7
2024-04-22,Chocolate,Snacks,90,5
2024-04-19,Bread,Bakery,35,2
2024-01-30,Cooking Oil,Groceries,302,14
2024-03-08,Sugar,Groceries,167,10
2024-06-29,Soap,Household,285,12
2024-06-24,Rice,Groceries,135,1
2024-02-26,Detergent,Household,93,16
2024-04-09,Rice,Groceries,198,17
2024-02-14,Shampoo,Household,56,15
2024-02-10,Detergent,Household,404,9
2024-01-15,Tea,Beverages,269,9
2024-03-09,Shampoo,Household,410,4
2024-03-14,Coffee,Beverages,104,19
2024-04-12,Soap,Household,380,20
2024-02-28,Chocolate,Snacks,285,12
2024-06-13,Chocolate,Snacks,272,6
2024-03-29,Bread,Bakery,450,18
2024-04-08,Cooking Oil,Groceries,376,14
2024-06-11,Cooking Oil,Groceries,262,8
2024-02-13,Soap,Household,377,2
2024-03-26,Sugar,Groceries,284,9
2024-04-09,Shampoo,Household,311,4
2024-02-29,Cooking Oil,Groceries,327,11
2024-03-14,Tea,Beverages,360,2
2024-02-17,Soap,Household,28,9
2024-03-01,Bread,Bakery,400,16
2024-04-15,Chocolate,Snacks,58,19
2024-01-14,Tea,Beverages,214,5
2024-02-14,Chocolate,Snacks,257,7
2024-04-18,Chocolate,Snacks,268,4
2024-05-04,Coffee,Beverages,407,16
2024-06-21,Shampoo,Household,279,20
2024-02-24,Milk,Dairy,294,18
2024-05-24,Bread,Bakery,466,5
2024-01-11,Cooking Oil,Groceries,365,8
2024-06-23,Coffee,Beverages,445,10
2024-01-03,Detergent,Household,486,8
2024-05-27,Biscuits,Snacks,383,15
2024-02-11,Sugar,Groceries,72,20
2024-02-18,Shampoo,Household,413,14
2024-04-15,Soap,Household,90,13
2024-03-29,Sugar,Groceries,385,1
2024-05-15,Detergent,Household,236,12
2024-01-11,Coffee,Beverages,192,18
2024-04-11,Tea,Beverages,223,14
2024-02-10,Sugar,Groceries,488,19
2024-03-14,Milk,Dairy,321,17
2024-06-13,Rice,Groceries,161,16
2024-06-23,Shampoo,Household,302,19
2024-01-14,Tea,Beverages,11,6
2024-02-29,Rice,Groceries,489,4
2024-02-01,Biscuits,Snacks,329,3
2024-04-04,Sugar,Groceries,280,10
2024-05-03,Rice,Groceries,108,9
2024-05-14,Bread,Bakery,479,5
2024-04-27,Detergent,Household,149,4
2024-01-09,Bread,Bakery,247,6
2024-04-17,Bread,Bakery,289,7
2024-06-03,Chocolate,Snacks,459,19
2024-03-18,Shampoo,Household,379,17
2024-01-02,Milk,Dairy,88,15
2024-05-07,Tea,Beverages,37,12
2024-04-05,Cooking Oil,Groceries,78,15
2024-05-14,Cooking Oil,Groceries,375,19
2024-04-01,Milk,Dairy,309,5
2024-05-09,Soap,Household,309,8
2024-06-23,Chocolate,Snacks,51,5
2024-01-02,Chocolate,Snacks,393,4
2024-05-02,Chocolate,Snacks,330,6
2024-01-04,Coffee,Beverages,447,18
2024-02-24,Milk,Dairy,321,1
2024-01-18,Rice,Groceries,186,14
2024-03-03,Cooking Oil,Groceries,298,11
2024-05-03,Shampoo,Household,321,13
2024-04-02,Rice,Groceries,49,19
2024-02-01,Bread,Bakery,164,7
2024-05-11,Tea,Beverages,148,15
2024-01-14,Detergent,Household,198,19
2024-06-04,Tea,Beverages,498,7
2024-04-07,Detergent,Household,42,19
2024-04-03,Bread,Bakery,285,10
2024-06-12,Milk,Dairy,153,7
2024-04-05,Coffee,Beverages,357,9
2024-06-19,Bread,Bakery,363,12
2024-01-27,Shampoo,Household,305,1
2024-01-28,Detergent,Household,304,2
2024-01-11,Biscuits,Snacks,229,6
2024-01-17,Bread,Bakery,412,18
2024-02-08,Biscuits,Snacks,20,10
2024-02-14,Sugar,Groceries,203,15
2024-05-19,Soap,Household,456,10
2024-01-28,Shampoo,Household,151,16
2024-06-03,Rice,Groceries,10,16
2024-04-11,Detergent,Household,330,9
2024-03-30,Biscuits,Snacks,317,5
2024-04-05,Cooking Oil,Groceries,368,1
2024-05-16,Rice,Groceries,61,6
2024-02-19,Milk,Dairy,285,9
2024-01-16,Rice,Groceries,81,5
2024-02-29,Sugar,Groceries,210,16
2024-04-11,Biscuits,Snacks,318,5
2024-03-22,Sugar,Groceries,134,11
2024-01-03,Milk,Dairy,412,2
2024-03-28,Sugar,Groceries,226,7
2024-05-28,Detergent,Household,158,15
2024-02-09,Coffee,Beverages,359,2
2024-01-17,Tea,Beverages,326,16
2024-01-03,Biscuits,Snacks,171,5
2024-01-07,Detergent,Household,160,15
2024-04-01,Shampoo,Household,296,20
2024-01-29,Bread,Bakery,65,17
2024-05-03,Cooking Oil,Groceries,474,7
2024-05-23,Coffee,Beverages,72,19
2024-02-07,Coffee,Beverages,53,10
2024-04-23,Chocolate,Snacks,169,13
2024-06-19,Biscuits,Snacks,200,10
2024-02-15,Tea,Beverages,484,15
2024-06-06,Milk,Dairy,136,1
2024-03-04,Biscuits,Snacks,22,9
2024-05-25,Bread,Bakery,125,12
2024-04-19,Tea,Beverages,17,11
2024-02-08,Biscuits,Snacks,85,1
2024-01-11,Biscuits,Snacks,286,3
2024-03-22,Cooking Oil,Groceries,394,20
2024-02-12,Rice,Groceries,226,10
2024-03-07,Chocolate,Snacks,239,11
2024-03-03,Rice,Groceries,253,2
2024-05-28,Detergent,Household,453,2
2024-05-27,Rice,Groceries,275,17
2024-01-29,Cooking Oil,Groceries,318,13
2024-01-26,Shampoo,Household,322,5
2024-03-12,Rice,Groceries,380,5
2024-04-06,Bread,Bakery,445,17
2024-02-22,Shampoo,Household,478,9
2024-04-14,Sugar,Groceries,266,8
2024-06-09,Sugar,Groceries,108,13
2024-03-29,Milk,Dairy,203,14
2024-06-17,Cooking Oil,Groceries,216,6
2024-05-11,Coffee,Beverages,326,12
2024-06-27,Cooking Oil,Groceries,479,13
2024-02-17,Milk,Dairy,281,1
2024-02-20,Sugar,Groceries,420,3
2024-04-01,Detergent,Household,465,18
2024-04-26,Detergent,Household,293,4
2024-06-19,Rice,Groceries,427,17
2024-04-18,Milk,Dairy,326,2
2024-02-11,Soap,Household,346,12
2024-05-08,Bread,Bakery,382,5
2024-02-29,Detergent,Household,149,18
2024-04-27,Sugar,Groceries,151,12
2024-06-20,Shampoo,Household,405,2
2024-05-20,Sugar,Groceries,495,14
2024-01-01,Milk,Dairy,413,16
2024-01-13,Sugar,Groceries,337,5
2024-05-10,Tea,Beverages,84,17
2024-06-12,Chocolate,Snacks,19,10
2024-05-26,Bread,Bakery,259,10
2024-04-24,Biscuits,Snacks,253,11
2024-02-16,Coffee,Beverages,158,1
2024-02-19,Cooking Oil,Groceries,148,3
2024-06-04,Shampoo,Household,297,4
2024-06-26,Soap,Household,60,8
2024-01-05,Rice,Groceries,353,4
2024-04-26,Detergent,Household,343,17
2024-06-16,Coffee,Beverages,146,19
2024-04-03,Sugar,Groceries,479,16
2024-03-18,Cooking Oil,Groceries,107,2
2024-05-18,Rice,Groceries,368,12
2024-01-18,Biscuits,Snacks,171,19
2024-01-16,Tea,Beverages,141,3
2024-02-03,Sugar,Groceries,242,14
2024-06-11,Cooking Oil,Groceries,312,9
2024-06-09,Cooking Oil,Groceries,361,10
2024-05-20,Cooking Oil,Groceries,85,17
2024-02-15,Biscuits,Snacks,106,6
2024-04-03,Biscuits,Snacks,163,8
2024-03-10,Biscuits,Snacks,228,15
2024-03-25,Tea,Beverages,304,4
2024-02-04,Tea,Beverages,217,11
2024-02-03,Shampoo,Household,430,6
2024-05-31,Shampoo,Household,272,13
2024-04-17,Rice,Groceries,336,5
2024-01-09,Rice,Groceries,264,15
2024-03-07,Detergent,Household,164,18
2024-03-12,Shampoo,Household,132,15
2024-03-11,Cooking Oil,Groceries,103,8
2024-02-01,Cooking Oil,Groceries,116,13
2024-03-11,Chocolate,Snacks,50,6
2024-04-27,Cooking Oil,Groceries,38,4
2024-01-28,Milk,Dairy,295,13
2024-06-17,Tea,Beverages,374,6
2024-06-01,Bread,Bakery,381,7
2024-01-25,Biscuits,Snacks,221,19
2024-01-09,Detergent,Household,92,11
2024-02-13,Cooking Oil,Groceries,288,4
2024-02-23,Rice,Groceries,323,12
2024-02-21,Sugar,Groceries,352,6
2024-06-04,Bread,Bakery,49,20
2024-02-07,Tea,Beverages,340,13
2024-02-12,Shampoo,Household,95,10
2024-04-17,Cooking Oil,Groceries,369,16
2024-05-30,Cooking Oil,Groceries,418,11
2024-02-18,Cooking Oil,Groceries,454,5
2024-06-16,Bread,Bakery,123,2
2024-01-16,Soap,Household,217,3
2024-01-19,Chocolate,Snacks,365,18
2024-05-06,Bread,Bakery,137,2
2024-04-11,Milk,Dairy,256,18
2024-03-22,Chocolate,Snacks,71,6
2024-03-25,Bread,Bakery,391,7
2024-02-02,Tea,Beverages,111,19
2024-01-09,Tea,Beverages,397,17
2024-06-11,Soap,Household,435,4
2024-05-13,Biscuits,Snacks,97,13
2024-02-09,Rice,Groceries,207,19
2024-03-13,Detergent,Household,251,12
2024-03-06,Bread,Bakery,484,15
2024-06-19,Sugar,Groceries,155,13
2024-02-02,Cooking Oil,Groceries,145,11
2024-01-10,Coffee,Beverages,439,10
2024-01-08,Sugar,Groceries,310,6
2024-03-28,Detergent,Household,59,4
2024-02-26,Rice,Groceries,488,12
2024-01-19,Bread,Bakery,391,11
2024-01-19,Sugar,Groceries,57,4
2024-01-13,Detergent,Household,291,17
2024-05-28,Soap,Household,247,17
2024-04-22,Detergent,Household,124,15
2024-03-22,Chocolate,Snacks,140,12
2024-04-02,Coffee,Beverages,357,5
2024-03-16,Coffee,Beverages,304,10
2024-05-10,Detergent,Household,364,6
2024-03-06,Cooking Oil,Groceries,245,5
2024-01-15,Rice,Groceries,41,17
2024-01-14,Bread,Bakery,491,3
2024-04-01,Rice,Groceries,306,1
2024-03-10,Tea,Beverages,347,6
2024-06-06,Shampoo,Household,417,14
2024-05-25,Rice,Groceries,230,6
2024-02-09,Sugar,Groceries,140,7
2024-04-09,Soap,Household,469,1
2024-03-22,Rice,Groceries,469,1
2024-06-23,Rice,Groceries,129,9
2024-02-01,Sugar,Groceries,75,11
2024-01-12,Tea,Beverages,276,5
2024-03-29,Coffee,Beverages,153,1
2024-01-14,Milk,Dairy,253,11
2024-03-14,Detergent,Household,425,7
2024-02-01,Chocolate,Snacks,32,5
2024-04-04,Biscuits,Snacks,311,19
2024-05-24,Rice,Groceries,53,15
